The Void|Пустотный
THE VOID|ПУСТОТНЫЙ
Void|Пустотный
An enraged and hungry predator escapes from the void sea.<LINE>Balancing between life and death, the beast seeks its new place in this world.|Разъярённый и голодный хищник вырывается из пустотного моря.<LINE>Балансируя между жизнью и смертью, зверь ищет своё новое место в этом мире.
Clear the game as Hunter to unlock.|Чтобы открыть, пройди игру за Охотника.
You have enough strength to climb the walls.|У тебя достаточно сил, чтобы взбираться на стены.
Your body is strong enough to climb the ceilings.|Твоё тело достаточно окрепло, чтобы лазать по потолкам.
Hold down the 'Up' and 'Direction' buttons to climb the ceiling.|Удерживай кнопки 'Вверх' и 'Направления', чтобы лазать по потолку.
Hold down the 'Direction' and 'Up' buttons to climb the wall.|Удерживай кнопки 'Направления' и 'Вверх', чтобы взобраться на стену.
The vessel could not withstand the impact of the void liquid.<LINE>Now the soul is doomed to relive his last cycles forever.|Сосуд не выдержал воздействие пустотной жидкости.<LINE>Теперь душа обречёна вечно переживать свои последние циклы.
The soul is crying out for new wanderings, but the body still clings to the past.<LINE>You have the feeling that you must fulfil the last wish.|Душа взывает к новым странствиям, но тело всё ещё цепляется за прошлое.<LINE>Тебя не покидает чувство, что ты должен исполнить последнее желание.



...is it reaching you?|...ты понимаешь меня?
Strange beast, what brings you to my room? I don't think I have anything for you.|Странный зверь, что привело тебя в мою комнату? Ну думаю, что у меня есть что-то для тебя.
Interesting... there is no record of your blueprint in my database.|Интересно... В моей базе данных нет записи о твоём чертеже.
In additional something don't let me do fully analyse your body structure without harmimg your health.|Помимо этого, что-то не позволяет мне провести полный анализ строения твоего тела без вреда для твоего здоровья.
But based on the data available I assume you interacted with the void fluid in some way. Surprisingly you was able to get to me.|Но основывайсь на полученных данных, я полагаю, что ты каким-то образом взаимодействовал с пустотной жидкостью. Удивительно, что ты смог добраться до меня.  
In any case, I don't have the medical equipment to make it any easier on you.|В любом случае, у меня нет медицинского оборудования, чтобы облегчить твою участь.
You have less than a cycle to live, so make the most of the time you have left. In the meantime, leave me alone.|Тебе осталось жить меньше цикла, так что проведи оставшееся время с максимальной пользой. А пока оставь меня в покое. 
..still alive. I didn't expect this outcome. Apparently you are able to delay your death.|..все ещё жив. Я не ожидал такого исхода. Очевидно, ты как-то смог отсрочить свою смерть.
I would be interested in exploring your body, but my state don't let me do something like this...|Я заинтересован в иследовании твоего тела, но моё нынешнее состояние не позволит заниматься подобным...
The fact that you came back to me again suggests that you're lost.|То, что ты снова вернулся ко мне, говорит о том, что ты заблудился. Возможно, ты ищешь мою подругу.
You might be looking for a friend of mine. Her name is Looks to the Moon, her state much worse then mine.|Ее зовут Смотрящая на Луну, ее состояние гораздо хуже моего.
She's a short distance to the east of here. If the little beast has accomplished his mission,<LINE> perhaps she can help you find what you've been looking for.|Она находится на небольшом расстоянии к востоку отсюда. Если маленький зверек справился со своей миссией, возможно, она поможет тебе найти то, что ты ищешь. 
Tell her I'm sorry...|Передай ей, что мне жаль...
Hello little... creature. Is it you?..|Привет маленький... зверёк. Это ты?..
Oh, I'm sorry, I was mistaken.|О, прости, я обозналась. 
My memory is failing me and I don't know what to do about it...|Моя память подводит меня, и я не знаю, что с этим делать...
Little creature...|Маленький зверёк
Are you feeling okay?|Ты хорошо себя чувствуешь? 
I've never seen a creature in a more horrible state.|Я никогда не видила создание в более худшем состоянии.
Your body... is still trying to maintain such an unstable structure.|Ваше тело... всё ещё пытается поддерживать такую нестабильную структуру. 
You remind me of a friend of mine.|Ты напоминаешь мне одного моего друга.
I miss him.|Я скучаю по нему. 
I realise it's selfish of me to ask you in such... state, but could you please pass on a message to my friend.|Я понимаю, что это эгоистично с моей стороны просить тебя в таком... состоянии, но не мог бы ты передать сообщение моему другу. 
His name is No Significant Harassment, you have to overcome the wall that surrounds Five Pebble's terriory to get to him...|Его зовут Нет Значимых Забот, чтобы добраться до него, тебе придётся преодолеть стену, окружающую территорию Пяти Галек...
I'm sorry, I can't ask a little creature for this...|Прости, но я не могу просить об этом маленькое создание...
