DangerType: Blizzard
WaveSpeed: 0.3355443
WaveLength: 0.9177722
WaveAmplitude: 0.0001479514
SecondWaveLength: 0.1666667
SecondWaveAmplitude: 0
Grime: 0.3066691
Palette: 202
TerrainLight: 0.1676622
TerrainStainAmount: 0.2705861
TerrainStainBrightness: 0.3299521
TerrainStainHeight: 0
TerrainWaves: 0.4639946
TerrainEdgeRadius: 73.91994
TerrainGooHeight: 0.1416082
TerrainGrain: 0.5046639
TerrainDepth: -10
TerrainPalette: ridgesnow
PlacedObjects: CustomDecal><2933.788><214.4746><-32.72702~385.7687~537.3092~459.7604~641.1823~4.980225~268.2199~155.8093~0~1~0~rustymetal(var)~0.590138~1~0.4818722~1~0.4896051~1~0.4973403~1, CustomDecal><256.1592><42.96846><28.45834~358.7334~631.9332~382.2115~592.8033~-35.57292~-309.4844~240.4729~0.2010644~1~0~runningwhite~0.5~1~0.5~1~0.5~1~0.5~1, CustomDecal><-108.0427><130.451><2.845856~775.6479~653.2771~768.5334~629.0873~7.82605~-315.8875~148.6948~0~1~0~rustymetal(var)~0.7087976~1~0.7087976~1~0.7087976~1~0.7087976~1, CustomDecal><350.1365><274.1656><2.13446~176.5999~45.6915~175.8888~40~0~-322.2906~39.84171~0~1~0~rustb2~0.662398~1~0.8093295~1~0.1520041~1~0.2602692~1, CustomDecal><127.45><78.51459><2.13446~176.5999~45.6915~175.8888~40~0~-322.2906~39.84171~0~1~0~rustb2~0.662398~1~0.8093295~1~0.1520041~1~0.2602692~1, CustomDecal><27.13437><163.8896><0.7115479~176.5999~46.40292~180.1575~40~0~-322.2906~39.84171~0~1~0~rustb2~0.662398~1~0.8093295~1~0.1520041~1~0.2602692~1, CustomDecal><919.3032><326.1021><3.557373~185.8489~44.26855~184.4262~40~0~-130.9083~102.45~0~1~0~rustb2~0.662398~1~0.8093295~1~0.1520041~1~0.2602692~1, CustomDecal><180.8094><103.4156><163.6354~686.7157~872.4064~694.5417~952.0895~-15.65207~-315.8875~148.6948~0~1~0~rustymetal(var)~1~1~1~1~1~1~1~1, CustomDecal><1854.928><58.59374><1.422913~186.5604~49.24884~190.1178~40~0~94.62396~179.2875~0~1~0~rustb2~0.7087986~1~0.7087986~1~0.7087986~1~0.7087986~1, CustomDecal><1701.132><216.8355><1.422913~186.5604~49.24884~190.1178~40~0~96.75824~218.4177~0~1~0~rustb2~0.7861301~1~0.7861301~1~0.7861301~1~0.7861301~1, CustomDecal><1308.647><109.208><140.1573~611.3011~829.0073~503.1594~836.1218~-5.69165~-315.8875~148.6948~0~1~0~rustymetal(var)~1~1~0.9330614~1~0.817063~1~0.909862~1, CustomDecal><366.4999><434.2437><-31.30414~380.7886~631.9332~382.2115~592.8033~-35.57292~-269.6427~-3.557312~0~1~0~rust2~0.2356202~1~0.26043~1~0.1082648~1~0.1288051~1, SnowSource><3478.47><602.7748><Radial~690.1145~17.47083~50~86.60254~0.5050725~1, SnowSource><2431.709><434.136><Radial~690.1145~17.47083~50~86.60254~0.5050725~1, SnowSource><2005.046><487.6031><Radial~690.1145~17.47083~50~86.60254~0.5050725~1, SnowSource><1367.579><441.5935><Radial~690.1145~17.47083~50~86.60254~0.5050725~1, SnowSource><865.2323><482.6229><Radial~690.1145~17.47083~50~86.60254~0.5050725~1, SnowSource><233.2883><454.4316><Radial~690.1145~17.47083~50~86.60254~0.5050725~1, SnowSource><2851.47><439.801><Radial~690.1145~17.47083~50~86.60254~0.5050725~1, TerrainHandle><726.489><179.5556><-143.1111~-66.84445~74.90173~24.90143~20, TerrainHandle><46.94931><158.1986><-45.68889~-3.555557~181.5684~17.79031~20, TerrainHandle><1206.654><186.982><-394.3063~118.717~183.0032~-17.78641~20, TerrainHandle><2155.7><167.4325><-214.3073~-31.30417~271.9354~27.03548~20, TerrainHandle><3901.91><260.9481><-148.8532~-199.2083~170.886~238.3341~92.59781, TerrainHandle><2783.742><225.1613><-89.09064~-36.28436~608.4552~205.6115~20, CustomDecal><907.9771><130.451><78.97191~769.9564~780.6282~770.6677~666.0833~-113.1219~-293.8323~120.2365~0~1~0~rustymetal(var)~0.8402624~1~0.7165309~1~0.6082651~1~0.8170624~1, CustomDecal><1421.934><5.605826><-144.4261~490.3531~714.4625~647.5854~789.1655~41.97602~-455.3334~104.5844~0~1~0~runningwhite~0.731997~1~0.3194746~1~0.7165305~1~0.09013798~1, CustomDecal><3198.162><251.976><8.537476~448.3771~175.8885~436.9938~227.1134~-3.557297~-32.01575~-199.2083~0~1~0~runningwhite~0.2525356~1~0.3194746~1~0.2216034~1~0.09013798~1, CustomDecal><2428.864><22.88646><101.0272~294.7021~396.4407~626.2417~633.3564~44.8219~-315.8875~148.6948~0~0.6520041~0~rustymetal(var)~0.7733244~1~0.9794607~1~0.8866627~1~0.9330617~1, 
FadePalette: 7, 0.07733221, 0.06959932, 0.09279881, 0.100532
