WaveSpeed: 0.4865453
WaveLength: 0.9932727
WaveAmplitude: 0.001221779
SecondWaveLength: 0.1666667
SecondWaveAmplitude: 0
EffectColorA: 11
EffectColorB: 1
TerrainLight: 0.5
TerrainPalette: ridgesnow
Effects: Darkness-0.162398-20-20, 
PlacedObjects: TerrainHandle><5756.85><105.8781><-260.5521~-29.15556~116.8376~13.51111~58.39999, TerrainHandle><5031.818><148.634><-435.5708~15.64444~40~0~27.82222, TerrainHandle><3970.565><105.328><-157.3906~14.22223~40~0~37.77779, TerrainHandle><2868.246><174.5014><-50.67194~-8.533325~96.91669~14.93335~21.42221, TerrainHandle><2343.555><166.1904><-67.0354~12.0889~68.45834~-12.79999~26.39999, TerrainHandle><1367.028><175.9778><-91.22501~-0.7111206~40~0~27.82222, TerrainHandle><291.3125><223.4937><-76.99585~14.93332~140.3156~-19.20001~20, TerrainHandle><-32.25212><365.0971><-50.67187~88.1778~53.51772~-119.4666~22.13333, TerrainHandle><2654.28><111.5183><-82.6875~24.17777~109.5646~-8.533325~38.4889, SnowSource><3353.662><106.9309><Radial~224.1094~205.9556~50~86.60254~1~1, SnowSource><3763.22><42.65285><Radial~-40.55316~315.4667~50~86.60254~1~1, SnowSource><3567.993><604.5414><Radial~362.8437~18.93335~50~86.60254~0.6442712~0.9357227, SnowSource><4146.176><63.46568><Radial~59.05109~136.9778~50~86.60254~1~0, SnowSource><4438.096><101.1893><Radial~121.6594~232.2667~50~86.60254~0.6674705~0.5181274, SnowSource><4347.377><627.0055><Strip~503.001~55.19995~50~86.60254~0.6597376~1, SnowSource><4880.998><534.3755><Radial~451.0646~-249.8667~50~86.60254~0.6210712~1, SnowSource><5375.397><95.66081><Radial~156.5208~247.2~50~86.60254~0.8066685~0.6442712, SnowSource><6000.196><127.4461><Radial~168.6157~183.9111~50~86.60254~0.7448027~0.7037247, SnowSource><5992.155><661.7363><Radial~443.2385~-303.9111~50~86.60254~1~1, SnowSource><3003.959><579.4324><Radial~298.8125~-384.9778~50~86.60254~1~0.3866617, SnowSource><2308.053><467.2032><Radial~412.6458~232.9778~50~86.60254~0.8685343~1, SnowSource><1855.214><274.8693><Radial~222.6865~216.6223~49.28851~85.89142~0.5669383~1, SnowSource><1453.842><553.2659><Radial~310.1958~-283.2889~50~86.60254~0.6210712~0.7114576, SnowSource><213.1653><240.7683><Radial~138.7344~237.2445~50~86.60254~0.4122732~0.6573254, SnowSource><56.68379><547.7551><Radial~236.2041~149.0667~50~86.60254~0.5360054~0.6288044, SnowSource><445.6537><647.7285><Radial~139.4459~186.0445~50~86.60254~1~0.9202556, SnowSource><810.9089><386.4937><Radial~277.4688~237.9556~50~86.60254~0.7602685~0.9047905, TerrainHandle><1890.104><201.2746><-40~-2.133331~42.1344~-5.688889~27.1111, CustomDecal><5068.24><129.9491><41.97603~230.5778~538.7323~212.8~495.3333~-110.9333~346.4802~157.8667~0~1~0~rustymetal(var)~0.5~0~0.5~0~0.5~0~0.5~0, CustomDecal><5815.041><189.6998><-32.72711~540.6223~496.0448~654.4~502.448~317.8666~-310.9072~59.73334~0~1~0~rustymetal~0.291202~0~0.291202~0~0.291202~0~0.291202~0, CustomDecal><5869.653><100.1318><-69.01147~267.5555~451.9343~633.7777~424.1874~-108.0889~-132.3313~2.133301~0~1~0~rustymetal(var)~0.5~0~0.5~0~0.5~0~0.5~0, CustomDecal><5527.594><83.4><-98.89267~548.4443~458.3375~640.8889~370.1166~-77.51111~-201.3427~49.06665~0~1~0~rustymetal~0.3066678~0~0.3066678~0~0.3066678~0~0.3066678~0, CustomDecal><5623.291><468.778><-101.0271~304.5333~166.6395~376.3556~200.0781~134.4~-421.8947~-445.8666~0~1~0~rustymetal(var)~0.5~0~0.5~0~0.5~0~0.5~0, CustomDecal><5127.623><228.1124><-9.248962~87.64444~353.0417~112.5333~362.2906~-2.844421~518.6531~9.244446~0~1~0~rustymetal(var)~0.5~0~0.5~0~0.5~0~0.5~0, CustomDecal><4803.66><124.3276><-41.97601~707.7333~270.5125~731.2~409.2468~-139.3778~-318.0219~-100.9778~0~1~0~rustymetal(var)~0.5~0~0.5~0~0.5~0~0.5~0, CustomDecal><4507.627><116.6439><14.22925~741.1555~419.2073~764.6221~369.4052~-108.8~0~0~0~1~0~rustymetal~0.2370685~0~0.2370685~0~0.2370685~0~0.2370685~0, CustomDecal><3910.221><403.8304><22.05518~326.5778~796.2802~329.4223~814.7781~-40.53329~0~0~0~1~0~rustymetal(var)~0.5~0~0.5~0~0.5~0~0.5~0, CustomDecal><3774.866><167.5911><-64.03125~691.3777~358.7331~707.7334~257.7063~-194.8444~0~0~0~1~0~rustymetal(var)~0.5~0~0.5~0~0.5~0~0.5~0, CustomDecal><4002.408><88.74318><174.3073~375.6444~617.7042~280.3556~739.3635~-46.93333~0~0~0~1~0~rustymetal(var)~0.5~0~0.5~0~0.5~0~0.5~0, CustomDecal><4355.343><142.4006><8.537506~140.2667~316.0458~254.0444~188.6948~-22.04445~0~0~0~1~0~rustymetal~0.5~0~0.5~0~0.5~0~0.5~0, CustomDecal><3300.493><278.9928><45.53333~382.0445~323.1605~276.0888~238.4969~-9.955566~0~0~0~1~0~rustymetal~0.4149342~0~0.4149342~0~0.4149342~0~0.4149342~0, CustomDecal><3500.754><305.6896><-14.22906~237.6888~353.7531~263.2889~404.9781~-61.86667~0~0~0~1~0~rustymetal~0.3066691~0~0.3066691~0~0.3066691~0~0.3066691~0, CustomDecal><3120.462><138.7228><-2.84584~107.5555~797.7031~187.2~804.1063~-63.28889~120.9479~180.6223~0~1~0~rustymetal(var)~0.5~0~0.5~0~0.5~0~0.5~0, CustomDecal><2446.323><59.67448><74.70313~768.1777~737.9406~768.1778~743.6323~-48.35556~0~0~0~1~0~rustymetal(var)~0.2216027~0~0.2216027~0~0.2216027~0~0.2216027~0, CustomDecal><2900.393><131.6964><41.97607~764.6222~264.8209~687.8222~225.6906~-118.7556~0~0~0~1~0~rustymetal~0.3530685~0~0.3530685~0~0.3530685~0~0.3530685~0, CustomDecal><2259.165><76.60776><-27.74692~765.3333~156.6791~759.6444~146.7188~-22.04445~0~0~0~1~0~rustymetal~0.337602~0~0.337602~0~0.337602~0~0.337602~0, CustomDecal><2400.044><103.8069><-19.20935~768.8889~318.1802~770.311~335.9666~-51.2~0~0~0~1~0~rustymetal(var)~0.1984041~0~0.1984041~0~0.1984041~0~0.1984041~0, CustomDecal><1689.736><628.2096><-18.49791~149.5111~651.1428~140.2666~645.4511~-39.82227~258.2593~-192~0~1~0~rustymetal~0.3685349~0~0.3685349~0~0.3685349~0~0.3685349~0, CustomDecal><1596.15><180.4254><-8.537537~268.9778~619.8384~401.2444~624.8188~-108.8~0~0~0~1~0~rustymetal(var)~0.2834692~0~0.2834692~0~0.2834692~0~0.2834692~0, CustomDecal><1565.123><178.163><4.980225~270.4~114.7031~282.4889~108.3~-29.86667~0~0~0~1~0~rustymetal~0.3762678~0~0.3762678~0~0.3762678~0~0.3762678~0, CustomDecal><1995.404><155.8517><-22.05518~355.7333~199.3666~287.4667~205.0583~-19.9111~0~0~0~1~0~rustymetal(var)~0.5~0~0.5~0~0.5~0~0.5~0, CustomDecal><1625.797><341.7137><27.03546~296~375.8083~68.44446~210.75~-374.0444~0~0~0~1~0~rustymetal(var)~0.2138705~0~0.2138705~0~0.2138705~0~0.2138705~0, CustomDecal><1742.842><151.7563><-3.55719~147.3778~63.47815~141.6889~77.70728~-9.955566~0~0~0~1~0~rust5~0.5~0~0.5~0~0.5~0~0.5~0, CustomDecal><1033.688><328.1417><-7.826035~156.6222~65.6125~167.2889~72.01563~-33.42224~199.2084~14.22223~0~1~0~rust6~0.5~0~0.5~0~0.5~0~0.5~0, CustomDecal><1299.066><89.30678><-18.49792~756.8~539.4437~752.5333~398.575~-12.80001~0~0~0~1~0~rustymetal(var)~0.5~0~0.5~0~0.5~0~0.5~0, CustomDecal><1149.16><167.7901><-8.537506~436.7999~262.6865~416.8889~188.6948~-9.244446~0~0~0~1~0~rustymetal~0.2293366~0~0.2293366~0~0.2293366~0~0.2293366~0, CustomDecal><958.9404><200.6971><-26.32396~436.8~202.2125~421.1555~299.6823~-163.5555~0~0~0~1~0~rustymetal(var)~0.3840013~0~0.3840013~0~0.3840013~0~0.3840013~0, CustomDecal><545.26><176.6309><-44.8219~279.6444~234.2281~418.3112~294.7021~-44.79999~14.22913~46.22223~0~1~0~rustymetal(var)~0.5~0~0.5~0~0.5~0~0.5~0, CustomDecal><540.5352><340.4392><-33.43854~641.6~252.7261~609.6~153.8334~60.44443~0~0~0~1~0~rustymetal~0.3917349~0~0.3917349~0~0.3917349~0~0.3917349~0, CustomDecal><221.3869><246.9179><-39.13022~488.7111~408.5354~492.2667~373.674~-43.37779~0~0~0~1~0~rustymetal~0.3376014~0~0.3376014~0~0.3376014~0~0.3376014~0, CustomDecal><14.71486><175.3341><74.70314~727.6444~320.3146~690.6666~265.5323~-55.46667~0~0~0~1~0~rustymetal(var)~0.4458671~0~0.4458671~0~0.4458671~0~0.4458671~0, CustomDecal><-156.5748><546.6591><278.1802~197.8667~521.6573~106.1333~17.23335~-297.2445~559.9177~-377.6~0~1~0~rustymetal~0.2757363~0~0.2757363~0~0.2757363~0~0.2757363~0, CustomDecal><-55.22535><236.0218><39.84166~143.1111~217.1531~151.6444~249.8802~-66.13332~553.5145~30.57776~0~1~0~rustymetal(var)~0.5~0~0.5~0~0.5~0~0.5~0, TerrainHandle><954.2515><264.8731><-167.351~54.75555~58.49792~-23.46664~24.97775, 
