WaveSpeed: 0.5160787
WaveLength: 0.9919606
WaveAmplitude: 9.612694E-10
SecondWaveLength: 0.1666667
SecondWaveAmplitude: 0
TerrainGooHeight: 0.1630435
TerrainGrain: 0.186956
TerrainDepth: -10
TerrainSkyFade: 0
TerrainPalette: ridgesnow
Effects: Darkness-0.1086956-20-20, 
