playerGuideOverseerSpawnChance: 0
overseersSpawnChance: 0.1
overseersMin: 1
overseersMax: 1
scavsDelayInitialMin: 8800
scavsDelayInitialMax: 11200
scavsDelayRepeatMin: 8300
scavsDelayRepeatMax: 10900
Subregion: Data Archives
Subregion: Quantum Research Complex
Subregion: The Tumor
earlyCycleChance: 0.0
earlyCycleFloodChance: 0.0
Room_Attr: GATE_SS_LR: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,Outspector-Forbidden,OutspectorB-Forbidden,MotherSpider-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,
Room_Attr: GATE_LC_LR: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,Outspector-Forbidden,OutspectorB-Forbidden,MotherSpider-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,
Room_Attr: LR_SLOW: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,Outspector-Forbidden,OutspectorB-Forbidden,MotherSpider-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,
Room_Attr: LR_S01: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,Outspector-Forbidden,OutspectorB-Forbidden,MotherSpider-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,
Room_Attr: LR_S02: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,Outspector-Forbidden,OutspectorB-Forbidden,MotherSpider-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,
Room_Attr: LR_entrancelab: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,Outspector-Forbidden,OutspectorB-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,Yeek-Forbidden,BigJelly-Forbidden,SlugNPC-Forbidden,JungleLeech-Forbidden,ZoopLizard-Forbidden,ScavengerKing-Forbidden,TrainLizard-Forbidden,
